origin_country,origin_name,destination_country,destination_name,total_exchanges
ITA,Italy,MEX,Mexico,58
PYF,French Polynesia,USA,United States,57
GRC,Greece,ESP,Spain,57
USA,United States,IDN,Indonesia,56
FRA,France,SVN,Slovenia,56
NLD,Netherlands,ZAF,South Africa,56
DEU,Germany,HRV,Croatia,55
USA,United States,BRA,Brazil,55
CAN,Canada,IRL,Ireland,55
PRT,Portugal,GBR,United Kingdom,55
GRC,Greece,ITA,Italy,54
GLP,Guadeloupe,USA,United States,54
USA,United States,HUN,Hungary,54
DEU,Germany,AUS,Australia,54
POL,Poland,ITA,Italy,54
MAR,Morocco,MAR,Morocco,54
COL,Colombia,ESP,Spain,54
BEL,Belgium,DNK,Denmark,53
NOR,Norway,ITA,Italy,53
ESP,Spain,ZAF,South Africa,53
MAR,Morocco,USA,United States,53
ESP,Spain,COL,Colombia,52
COL,Colombia,COL,Colombia,52
GBR,United Kingdom,MEX,Mexico,52
CAN,Canada,BEL,Belgium,52
IRL,Ireland,NLD,Netherlands,52
GRC,Greece,GRC,Greece,52
ESP,Spain,TUR,Turkey,52
AND,Andorra,FRA,France,52
AUT,Austria,NLD,Netherlands,51
MTQ,Martinique,CAN,Canada,51
USA,United States,COL,Colombia,51
SWE,Sweden,ITA,Italy,50
PRT,Portugal,DEU,Germany,50
HRV,Croatia,USA,United States,50
FRA,France,AND,Andorra,50
FRA,France,POL,Poland,50
IRL,Ireland,DEU,Germany,50
CAN,Canada,MTQ,Martinique,50
USA,United States,PAN,Panama,49
DEU,Germany,ISL,Iceland,49
ITA,Italy,CZE,Czechia,49
IDN,Indonesia,ESP,Spain,49
ESP,Spain,THA,Thailand,49
RUS,Russia Federation,ESP,Spain,49
CAN,Canada,DEU,Germany,49
FRA,France,TUR,Turkey,49
HUN,Hungary,DEU,Germany,48
ESP,Spain,CHL,Chile,48
USA,United States,GRC,Greece,48
CAN,Canada,NZL,New Zealand,48
CRI,Costa Rica,CAN,Canada,48
ISL,Iceland,DNK,Denmark,48
ITA,Italy,SWE,Sweden,48
CHE,Switzerland,DNK,Denmark,47
CZE,Czechia,DEU,Germany,47
IDN,Indonesia,CAN,Canada,47
BEL,Belgium,GBR,United Kingdom,47
POL,Poland,POL,Poland,46
DEU,Germany,CZE,Czechia,46
HUN,Hungary,AUT,Austria,46
AUS,Australia,IRL,Ireland,46
THA,Thailand,USA,United States,46
NCL,New Caledonia,NCL,New Caledonia,46
TUR,Turkey,FRA,France,45
USA,United States,SWE,Sweden,45
ITA,Italy,AUS,Australia,45
DNK,Denmark,ISL,Iceland,44
TUR,Turkey,USA,United States,44
ISL,Iceland,ITA,Italy,44
FRA,France,NCL,New Caledonia,44
NCL,New Caledonia,AUS,Australia,43
CAN,Canada,CHE,Switzerland,43
